sample_index,mean_trace,std_trace
814,0.37814215,0.0041602785
815,0.13408804,0.0038461771
816,-0.31343207,0.0038384986
817,-0.21820562,0.0057813176
818,0.25830102,0.0048938654
819,0.062109523,0.0038860338
820,-0.32627252,0.003980658
821,-0.052233398,0.0036054845
822,0.36215,0.0041911914
823,0.12398936,0.0036740266
824,-0.3084645,0.003928452
825,-0.044440575,0.0035891195
826,0.36584464,0.0042079086
827,0.12550674,0.0036505088
828,-0.34987485,0.0040366286
829,-0.24955107,0.0051753195
830,0.24099219,0.004484298
831,0.053073876,0.0039606905
832,-0.3735959,0.0042489492
833,-0.25793272,0.0055390378
834,0.23770386,0.0049383133
835,0.053922754,0.003923228
836,-0.38178363,0.0037993183
837,-0.26722783,0.005344385
838,0.2359646,0.0045611975
839,0.055499364,0.0039151376
840,-0.33784127,0.003939083
841,-0.052749168,0.0034038762
842,0.36884692,0.0041964087
843,0.1343502,0.0035902024
844,-0.27281567,0.003998111
845,-0.014785889,0.0040493743
846,0.3912274,0.0043021385
847,0.1472731,0.0038362169
848,-0.2725843,0.0038564194
849,-0.02018374,0.003666358
850,0.38507646,0.0041161194
851,0.1437959,0.0034736237
852,-0.28143457,0.0038189285
853,-0.022207178,0.0034624452
854,0.38412967,0.0044868286
855,0.14200142,0.003845768
856,-0.28215367,0.0038326744
857,-0.024583105,0.0034818116
858,0.3813901,0.0040636403
859,0.13862573,0.0038417557
860,-0.29245582,0.0038645829
861,-0.032061476,0.003572979
862,0.37620953,0.004250714
863,0.1342102,0.0037735382
864,-0.28160062,0.0037037425
865,-0.026028711,0.0034635903
866,0.3787001,0.0041626994
867,0.13452144,0.003422018
868,-0.31455392,0.003898582
869,-0.2191813,0.0054940525
870,0.25728902,0.004617528
871,0.061861426,0.003916041
872,-0.32757217,0.0040350873
873,-0.05327158,0.0034088348
874,0.36154804,0.00420386
875,0.12373335,0.0034630238
876,-0.3096113,0.0037377668
877,-0.0452188,0.0035143413
878,0.3654998,0.0039823437
879,0.12523232,0.0035372532
880,-0.3493839,0.0037811233
881,-0.24940258,0.0047552455
882,0.24127871,0.004816689
883,0.053014696,0.0039198366
884,-0.37271962,0.0039743725
885,-0.2569921,0.005603619
